City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Taoudenni,ML,22.68,-3.98,90.66,12,34,4.85,scattered clouds
328,Airai,TL,-8.93,125.41,61.77,87,100,2.24,overcast clouds
329,Skjervoy,NO,70.03,20.97,35.6,74,75,23.04,broken clouds
330,Ust-Ishim,RU,57.69,71.17,28.4,98,95,7.02,overcast clouds
331,Melfi,IT,41.0,15.65,51.01,63,0,3.0,clear sky
332,Kaniama,CD,-7.57,24.18,71.06,91,88,5.1,overcast clouds
333,Sault Sainte Marie,CA,46.52,-84.33,64.4,72,20,4.7,few clouds
334,Virginia Beach,US,36.85,-75.98,73.99,49,40,6.93,scattered clouds
335,Birao,CF,10.28,22.79,81.3,28,5,4.34,clear sky
336,Talara,PE,-4.58,-81.27,78.8,57,0,10.29,clear sky
337,Gimli,CA,50.63,-96.99,24.8,62,41,12.75,scattered clouds
338,Leningradskiy,RU,69.38,178.42,17.65,93,97,6.15,overcast clouds
339,Viedma,AR,-40.81,-63.0,79.0,58,100,1.01,overcast clouds
340,Berlevag,NO,70.86,29.09,35.6,82,75,39.15,broken clouds
341,Kawalu,ID,-7.38,108.21,71.85,92,80,0.72,broken clouds
342,Ndola,ZM,-12.96,28.64,81.84,20,54,8.88,broken clouds
343,Ucluelet,CA,48.93,-125.55,45.0,80,90,11.41,overcast clouds
344,Pandaria,IN,22.23,81.42,61.66,39,0,4.27,clear sky
345,Kahului,US,20.89,-156.47,73.0,73,1,11.83,clear sky
346,Raudeberg,NO,61.99,5.14,48.99,78,99,14.97,overcast clouds
347,Cabo San Lucas,MX,22.89,-109.91,81.0,56,5,13.87,clear sky
348,Beloha,MG,-25.17,45.05,77.27,55,7,9.37,clear sky
349,Coronel Bogado,PY,-27.18,-56.3,78.8,69,100,3.36,overcast clouds
350,Mogadouro,PT,41.34,-6.71,55.99,81,24,3.33,few clouds
351,Teya,RU,60.38,92.63,32.31,95,97,12.33,overcast clouds
352,Lazaro Cardenas,MX,17.96,-102.2,84.47,66,12,1.83,few clouds
353,Adrar,MR,20.5,-10.07,91.85,11,0,10.0,clear sky
354,Comodoro Rivadavia,AR,-45.87,-67.5,69.8,46,0,12.75,clear sky
355,Ostrovnoy,RU,68.05,39.51,34.84,84,74,20.78,broken clouds
356,College,US,64.86,-147.8,26.01,94,100,1.01,overcast clouds
357,Tocopilla,CL,-22.09,-70.2,69.4,47,10,7.72,clear sky
358,Dangara,IN,29.68,75.89,66.83,24,33,3.22,scattered clouds
359,Necochea,AR,-38.55,-58.74,73.22,48,100,12.26,overcast clouds
360,Tucumcari,US,35.17,-103.72,64.4,42,1,11.41,clear sky
361,San Lorenzo,PY,-25.33,-57.53,69.8,94,90,11.41,moderate rain
362,Zhangjiakou,CN,40.81,114.88,37.74,63,0,2.91,clear sky
