City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1392,Sumenep,ID,82.81,overcast clouds,-7.02,113.87,OYO 3271 Homestay Pandian
1401,Senanga,ZM,85.33,broken clouds,-16.12,23.27,Christopher Nasilele House
1402,Esmeraldas,BR,93.2,broken clouds,-19.76,-44.31,Hotel Fazenda Lagoa Azul
1407,Ruston,US,75.2,broken clouds,32.52,-92.64,"Country Inn & Suites by Radisson, Ruston, LA"
1410,Venado Tuerto,AR,82.0,overcast clouds,-33.75,-61.97,La Bianca.
1414,Karachi,PK,75.2,clear sky,24.91,67.08,Hillside Homes
1416,Breves,BR,91.98,scattered clouds,-1.68,-50.48,Hotel e Restaurante Grill
1417,Puerto Narino,CO,84.2,moderate rain,-3.77,-70.38,Eware Refugio Amazonico
1419,Gambela,ET,78.66,clear sky,8.25,34.58,Solomon Debebe Hotel
1421,Aripuana,BR,90.07,very heavy rain,-9.17,-60.63,
1423,Kalemie,CD,76.41,overcast clouds,-5.95,29.19,Mahobilali
1429,Monze,ZM,84.36,broken clouds,-16.28,27.48,Sera's Lodge
1431,Reconquista,AR,79.72,broken clouds,-29.15,-59.65,Grand Hotel
1434,The Valley,AI,86.0,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
1438,Pontes E Lacerda,BR,77.36,overcast clouds,-15.23,-59.34,Hotel Bressan
1446,Gondanglegi,ID,77.76,overcast clouds,-7.75,112.01,Gg. Munasir Homestay
1449,Tayu,ID,80.74,overcast clouds,-6.54,111.05,Toko pakaian bu is Tayu
1452,Kroonstad,ZA,76.77,light rain,-27.65,27.23,Travel Inn Kroonstad
1457,Carutapera,BR,82.98,broken clouds,-1.2,-46.02,Lidera
1459,Bukama,CD,82.15,overcast clouds,-9.2,25.85,
1460,Acacias,CO,80.85,broken clouds,3.99,-73.76,Hotel Iraqúa
1461,Raga,SS,80.82,few clouds,8.46,25.68,
1466,Acajutla,SV,78.8,few clouds,13.59,-89.83,Stop.
1468,Tutoia,BR,89.6,few clouds,-2.76,-42.27,Pousada Guará's
1469,Ilorin,NG,87.39,overcast clouds,8.5,4.55,SITY INN
1470,Santarem,BR,89.6,few clouds,-2.44,-54.71,Hotel Imperador
1471,Holly Springs,US,75.0,few clouds,35.65,-78.83,Hampton Inn & Suites Holly Springs
1473,Abnub,EG,75.2,clear sky,27.27,31.15,مسجد الخطبة
1480,Malpe,IN,82.4,mist,13.35,74.72,Hotel Sri Krishna Residency
1483,Aden,YE,80.04,clear sky,12.78,45.04,Sama Emirate Hotel
